Qualifier Codes NULL Last Updated on 3/25/2015 at 1:13:13
Qualifier Code,Qualifier Desc,Qualifier Type Desc,Qualifier Type,Old Code
"AA","Sample Pressure out of Limits","Null Data Qualifier","NULL","9967"
"AB","Technician Unavaliable","Null Data Qualifier","NULL","9968"
"AC","Construction/Repairs in Area","Null Data Qualifier","NULL","9969"
"AD","Shelter Storm Damage","Null Data Qualifier","NULL","9970"
"AE","Shelter Temperature Outside Limits","Null Data Qualifier","NULL","9971"
"AF","Scheduled but not Collected","Null Data Qualifier","NULL","9972"
"AG","Sample Time out of Limits","Null Data Qualifier","NULL","9973"
"AH","Sample Flow Rate out of Limits","Null Data Qualifier","NULL","9974"
"AI","Insufficient Data (cannot calculate)","Null Data Qualifier","NULL","9975"
"AJ","Filter Damage","Null Data Qualifier","NULL","9976"
"AK","Filter Leak","Null Data Qualifier","NULL","9977"
"AL","Voided by Operator","Null Data Qualifier","NULL","9978"
"AM","Miscellaneous Void","Null Data Qualifier","NULL","9979"
"AN","Machine Malfunction","Null Data Qualifier","NULL","9980"
"AO","Bad Weather","Null Data Qualifier","NULL","9981"
"AP","Vandalism","Null Data Qualifier","NULL","9982"
"AQ","Collection Error","Null Data Qualifier","NULL","9983"
"AR","Lab Error","Null Data Qualifier","NULL","9984"
"AS","Poor Quality Assurance Results","Null Data Qualifier","NULL","9985"
"AT","Calibration","Null Data Qualifier","NULL","9986"
"AU","Monitoring Waived","Null Data Qualifier","NULL","9987"
"AV","Power Failure","Null Data Qualifier","NULL","9988"
"AW","Wildlife Damage","Null Data Qualifier","NULL","9989"
"AX","Precision Check","Null Data Qualifier","NULL","9990"
"AY","Q C Control Points (zero/span)","Null Data Qualifier","NULL","9991"
"AZ","Q C Audit","Null Data Qualifier","NULL","9992"
"BA","Maintenance/Routine Repairs","Null Data Qualifier","NULL","9993"
"BB","Unable to Reach Site","Null Data Qualifier","NULL","9994"
"BC","Multi-point Calibration","Null Data Qualifier","NULL","9995"
"BD","Auto Calibration","Null Data Qualifier","NULL","9996"
"BE","Building/Site Repair","Null Data Qualifier","NULL","9997"
"BF","Precision/Zero/Span","Null Data Qualifier","NULL","9998"
"BG","Missing ozone data not likely to exceed level of standard","Null Data Qualifier","NULL","9966"
"BH","Interference/co-elution/misidentification","Null Data Qualifier","NULL","9965"
"BI","Lost or damaged in transit","Null Data Qualifier","NULL","9964"
"BJ","Operator Error","Null Data Qualifier","NULL","9963"
"BK","Site computer/data logger down","Null Data Qualifier","NULL","9962"
"BL","QA Audit","Null Data Qualifier","NULL","9961"
"BM","Accuracy check","Null Data Qualifier","NULL","9960"
"BN","Sample Value Exceeds Media Limit","Null Data Qualifier","NULL","9947"
"BR","Sample Value Below Acceptable Range","Null Data Qualifier","NULL","None"
"CS","Laboratory Calibration Standard","Null Data Qualifier","NULL","9953"
"DA","Aberrant Data (Corrupt Files, Aberrant Chromatography, Spikes, Shifts)","Null Data Qualifier","NULL","9951"
"DL","Detection Limit Analyses","Null Data Qualifier","NULL","9949"
"FI","Filter Inspection Flag","Null Data Qualifier","NULL","9959"
"MB","Method Blank (Analytical)","Null Data Qualifier","NULL","9955"
"MC","Module End Cap Missing","Null Data Qualifier","NULL","9958"
"SA","Storm Approaching","Null Data Qualifier","NULL","9957"
"SC","Sampler Contamination","Null Data Qualifier","NULL","9948"
"ST","Calibration Verification Standard","Null Data Qualifier","NULL","9954"
"TC","Component Check & Retention Time Standard","Null Data Qualifier","NULL","9952"
"TS","Holding Time Or Transport Temperature Is Out Of Specs.","Null Data Qualifier","NULL","9956"
"XX","Experimental Data","Null Data Qualifier","NULL","9950"
