# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|06|007|0002|88101|1|7|105|117|19981219|00:00|18||6|||||||||||||
RD|I|06|007|0002|88101|1|7|105|117|19981225|00:00|57||6|||||||||||||
RD|I|06|007|0002|88101|1|7|105|117|19981231|00:00|69||6|||||||||||||
RD|I|06|011|1002|88101|1|7|105|120|19981216|00:00|8||6|||||||||||||
RD|I|06|011|1002|88101|1|7|105|120|19981219|00:00||AF|6|||||||||||||
RD|I|06|011|1002|88101|1|7|105|120|19981222|00:00|7||6|||||||||||||
RD|I|06|011|1002|88101|1|7|105|120|19981225|00:00|37||6|||||||||||||
RD|I|06|011|1002|88101|1|7|105|120|19981231|00:00||AQ|6|||||||||||||
RD|I|06|057|0005|88101|1|7|105|117|19981230|00:00||AG|6|||||||||||||
RD|I|06|057|0005|88101|1|7|105|117|19981231|00:00||AF|6|||||||||||||
RD|I|06|061|0006|88101|1|7|105|117|19981231|00:00|63||6|||||||||||||
RD|I|06|067|0010|88101|1|7|105|120|19981213|00:00|69||3|||||||||||||
RD|I|06|067|0010|88101|1|7|105|120|19981216|00:00|45||3|||||||||||||
RD|I|06|067|0010|88101|1|7|105|120|19981219|00:00|14||3|||||||||||||
RD|I|06|067|0010|88101|1|7|105|120|19981222|00:00|26||3|||||||||||||
RD|I|06|067|0010|88101|1|7|105|120|19981225|00:00|83||3|||||||||||||
RD|I|06|067|0010|88101|1|7|105|120|19981228|00:00|96||3|||||||||||||
RD|I|06|067|0010|88101|1|7|105|120|19981231|00:00|59||3|||||||||||||
RD|I|06|089|0004|88101|1|7|105|117|19981219|00:00|10||6|||||||||||||
RD|I|06|089|0004|88101|1|7|105|117|19981225|00:00|50||6|||||||||||||
RD|I|06|089|0004|88101|1|7|105|117|19981231|00:00|34||6|||||||||||||
RD|I|06|101|0003|88101|1|7|105|117|19981219|00:00|11||6|||||||||||||
RD|I|06|101|0003|88101|1|7|105|117|19981225|00:00|56||6|||||||||||||
RD|I|06|101|0003|88101|1|7|105|117|19981231|00:00|66||6|||||||||||||
RD|I|06|101|0003|88101|2|7|105|117|19981219|00:00|11||6|||||||||||||
RD|I|06|101|0003|88101|2|7|105|117|19981225|00:00|55||6|||||||||||||
RD|I|06|101|0003|88101|2|7|105|117|19981231|00:00|69||6|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981110|00:00|11.1||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981113|00:00|16.0||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981116|00:00|10.0||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981119|00:00|17.5||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981122|00:00|5.2||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981125|00:00|3.4||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981128|00:00|14.2||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981201|00:00|4.3||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981204|00:00|6.3||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981207|00:00|7.8||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981210|00:00|15.0||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981213|00:00|14.6||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981216|00:00|34.2||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981219|00:00|8.1||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981223|00:00|24.6||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981225|00:00|27.5||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981228|00:00|10.5||3|||||||||||||
RD|I|16|001|0011|88101|1|7|105|117|19981231|00:00|11.4||3|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981113|00:00|6.8||6|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981119|00:00|12.1||6|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981125|00:00||AJ|6|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981201|00:00|4.8||6|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981207|00:00|5.6||6|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981213|00:00|31.9||6|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981219|00:00|8.3||6|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981225|00:00|13.4||6|||||||||||||
RD|I|16|005|0006|88101|1|7|105|117|19981231|00:00|12.3||6|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981110|00:00|5.2||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981111|10:00|7.6||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981116|00:00|9.1||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981117|10:00|8.8||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981122|00:00|4.5||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981123|10:00|5.3||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981128|00:00|7.7||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981201|00:00|5.0||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981204|00:00|3.1||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981207|00:00|5.5||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981210|00:00|33.9||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981213|00:00|21.6||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981216|00:00|43.5||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981219|00:00|7.3||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981222|00:00|96.5||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981223|00:00|42.4||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981225|00:00|13.9||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981228|00:00|3.4||3|||||||||||||
RD|I|16|005|0015|88101|1|7|105|117|19981231|00:00|14.4||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981110|00:00|28.8||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981113|00:00|10.7||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981116|00:00|11.1||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981119|00:00|17.8||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981122|00:00|5.4||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981125|00:00|20.9||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981128|00:00|11.1||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981201|00:00|8.1||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981204|00:00|12.5||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981207|00:00|9.3||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981210|00:00|16.6||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981213|00:00|14.0||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981216|00:00|21.9||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981219|00:00|5.4||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981222|00:00|18.8||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981225|00:00|9.1||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981228|00:00|5.6||3|||||||||||||
RD|I|16|017|0001|88101|1|7|105|117|19981231|00:00|7.0||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981101|00:00|16.5||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981104|00:00|12.7||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981107|00:00|30.8||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981110|00:00|9.6||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981113|00:00|11.7||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981116|00:00|9.3||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981119|00:00|12.8||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981122|00:00|3.5||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981125|00:00|4.5||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981128|00:00|10.9||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981201|00:00|8.0||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981204|00:00|4.6||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981207|00:00|6.2||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981210|00:00|14.8||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981213|00:00|10.6||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981216|00:00|34.3||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981219|00:00|6.4||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981222|00:00|22.3||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981225|00:00|28.4||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981228|00:00|5.0||3|||||||||||||
RD|I|16|027|0004|88101|1|7|105|117|19981231|00:00|8.5||3|||||||||||||
RD|I|16|027|0005|88101|1|7|105|117|19981207|00:00|8.4||6|||||||||||||
RD|I|16|027|0005|88101|1|7|105|117|19981213|00:00|14.7||6|||||||||||||
RD|I|16|027|0005|88101|1|7|105|117|19981219|00:00|6.0||6|||||||||||||
RD|I|16|027|0005|88101|1|7|105|117|19981225|00:00|29.3||6|||||||||||||
RD|I|16|027|0005|88101|1|7|105|117|19981231|00:00|13.0||6|||||||||||||
RD|I|16|083|0006|88101|1|7|105|117|19981213|00:00|3.2||6|||||||||||||
RD|I|16|083|0006|88101|1|7|105|117|19981219|00:00|4.9||6|||||||||||||
RD|I|16|083|0006|88101|1|7|105|117|19981225|00:00|4.7||6|||||||||||||
RD|I|16|083|0006|88101|1|7|105|117|19981231|00:00|1.6||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980105|00:00|11.5||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980111|00:00|10.2||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980117|00:00|38.1||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980123|00:00|45.8||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980129|00:00|22.9||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980204|00:00|13.9||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980210|00:00|24.5||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980216|00:00|26.0||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980222|00:00|30.3||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980228|00:00|18.2||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980306|00:00|25.2||6|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980312|00:00|22.3||6|||||||||||||
