"State.Abr","County.Code","County.Name","State.Code","State.Name"
"AK",13,"Aleutians East Borough",2,"Alaska"
"AK",16,"Aleutians West Census Area",2,"Alaska"
"AK",20,"Anchorage Municipality",2,"Alaska"
"AK",50,"Bethel Census Area",2,"Alaska"
"AK",60,"Bristol Bay Borough",2,"Alaska"
"AK",68,"Denali Borough",2,"Alaska"
"AK",70,"Dillingham Census Area",2,"Alaska"
"AK",90,"Fairbanks North Star Borough",2,"Alaska"
"AK",100,"Haines Borough",2,"Alaska"
"AK",105,"Hoonah-Angoon Census Area",2,"Alaska"
"AK",110,"Juneau City and Borough",2,"Alaska"
"AK",122,"Kenai Peninsula Borough",2,"Alaska"
"AK",130,"Ketchikan Gateway Borough",2,"Alaska"
"AK",150,"Kodiak Island Borough",2,"Alaska"
"AK",164,"Lake and Peninsula Borough",2,"Alaska"
"AK",170,"Matanuska-Susitna Borough",2,"Alaska"
"AK",180,"Nome Census Area",2,"Alaska"
"AK",185,"North Slope Borough",2,"Alaska"
"AK",188,"Northwest Arctic Borough",2,"Alaska"
"AK",195,"Petersburg Census Area",2,"Alaska"
"AK",198,"Prince of Wales-Hyder Census Area",2,"Alaska"
"AK",220,"Sitka City and Borough",2,"Alaska"
"AK",230,"Skagway Municipality",2,"Alaska"
"AK",240,"Southeast Fairbanks Census Area",2,"Alaska"
"AK",261,"Valdez-Cordova Census Area",2,"Alaska"
"AK",270,"Wade Hampton Census Area",2,"Alaska"
"AK",275,"Wrangell City and Borough",2,"Alaska"
"AK",282,"Yakutat City and Borough",2,"Alaska"
"AK",290,"Yukon-Koyukuk Census Area",2,"Alaska"
"AL",1,"Autauga",1,"Alabama"
"AL",3,"Baldwin",1,"Alabama"
"AL",5,"Barbour",1,"Alabama"
"AL",7,"Bibb",1,"Alabama"
"AL",9,"Blount",1,"Alabama"
"AL",11,"Bullock",1,"Alabama"
"AL",13,"Butler",1,"Alabama"
"AL",15,"Calhoun",1,"Alabama"
"AL",17,"Chambers",1,"Alabama"
"AL",19,"Cherokee",1,"Alabama"
"AL",21,"Chilton",1,"Alabama"
"AL",23,"Choctaw",1,"Alabama"
"AL",25,"Clarke",1,"Alabama"
"AL",27,"Clay",1,"Alabama"
"AL",29,"Cleburne",1,"Alabama"
"AL",31,"Coffee",1,"Alabama"
"AL",33,"Colbert",1,"Alabama"
"AL",35,"Conecuh",1,"Alabama"
"AL",37,"Coosa",1,"Alabama"
"AL",39,"Covington",1,"Alabama"
"AL",41,"Crenshaw",1,"Alabama"
"AL",43,"Cullman",1,"Alabama"
"AL",45,"Dale",1,"Alabama"
"AL",47,"Dallas",1,"Alabama"
"AL",49,"DeKalb",1,"Alabama"
"AL",51,"Elmore",1,"Alabama"
"AL",53,"Escambia",1,"Alabama"
"AL",55,"Etowah",1,"Alabama"
"AL",57,"Fayette",1,"Alabama"
"AL",59,"Franklin",1,"Alabama"
"AL",61,"Geneva",1,"Alabama"
"AL",63,"Greene",1,"Alabama"
"AL",65,"Hale",1,"Alabama"
"AL",67,"Henry",1,"Alabama"
"AL",69,"Houston",1,"Alabama"
"AL",71,"Jackson",1,"Alabama"
"AL",73,"Jefferson",1,"Alabama"
"AL",75,"Lamar",1,"Alabama"
"AL",77,"Lauderdale",1,"Alabama"
"AL",79,"Lawrence",1,"Alabama"
"AL",81,"Lee",1,"Alabama"
"AL",83,"Limestone",1,"Alabama"
"AL",85,"Lowndes",1,"Alabama"
"AL",87,"Macon",1,"Alabama"
"AL",89,"Madison",1,"Alabama"
"AL",91,"Marengo",1,"Alabama"
"AL",93,"Marion",1,"Alabama"
"AL",95,"Marshall",1,"Alabama"
"AL",97,"Mobile",1,"Alabama"
"AL",99,"Monroe",1,"Alabama"
"AL",101,"Montgomery",1,"Alabama"
"AL",103,"Morgan",1,"Alabama"
"AL",105,"Perry",1,"Alabama"
"AL",107,"Pickens",1,"Alabama"
"AL",109,"Pike",1,"Alabama"
"AL",111,"Randolph",1,"Alabama"
"AL",113,"Russell",1,"Alabama"
"AL",115,"St. Clair",1,"Alabama"
"AL",117,"Shelby",1,"Alabama"
"AL",119,"Sumter",1,"Alabama"
"AL",121,"Talladega",1,"Alabama"
"AL",123,"Tallapoosa",1,"Alabama"
"AL",125,"Tuscaloosa",1,"Alabama"
"AL",127,"Walker",1,"Alabama"
"AL",129,"Washington",1,"Alabama"
"AL",131,"Wilcox",1,"Alabama"
"AL",133,"Winston",1,"Alabama"
"AR",1,"Arkansas",5,"Arkansas"
"AR",3,"Ashley",5,"Arkansas"
"AR",5,"Baxter",5,"Arkansas"
"AR",7,"Benton",5,"Arkansas"
"AR",9,"Boone",5,"Arkansas"
"AR",11,"Bradley",5,"Arkansas"
"AR",13,"Calhoun",5,"Arkansas"
"AR",15,"Carroll",5,"Arkansas"
"AR",17,"Chicot",5,"Arkansas"
"AR",19,"Clark",5,"Arkansas"
"AR",21,"Clay",5,"Arkansas"
"AR",23,"Cleburne",5,"Arkansas"
"AR",25,"Cleveland",5,"Arkansas"
"AR",27,"Columbia",5,"Arkansas"
"AR",29,"Conway",5,"Arkansas"
"AR",31,"Craighead",5,"Arkansas"
"AR",33,"Crawford",5,"Arkansas"
"AR",35,"Crittenden",5,"Arkansas"
"AR",37,"Cross",5,"Arkansas"
"AR",39,"Dallas",5,"Arkansas"
"AR",41,"Desha",5,"Arkansas"
"AR",43,"Drew",5,"Arkansas"
"AR",45,"Faulkner",5,"Arkansas"
"AR",47,"Franklin",5,"Arkansas"
"AR",49,"Fulton",5,"Arkansas"
"AR",51,"Garland",5,"Arkansas"
"AR",53,"Grant",5,"Arkansas"
"AR",55,"Greene",5,"Arkansas"
"AR",57,"Hempstead",5,"Arkansas"
"AR",59,"Hot Spring",5,"Arkansas"
"AR",61,"Howard",5,"Arkansas"
"AR",63,"Independence",5,"Arkansas"
"AR",65,"Izard",5,"Arkansas"
"AR",67,"Jackson",5,"Arkansas"
"AR",69,"Jefferson",5,"Arkansas"
"AR",71,"Johnson",5,"Arkansas"
"AR",73,"Lafayette",5,"Arkansas"
"AR",75,"Lawrence",5,"Arkansas"
"AR",77,"Lee",5,"Arkansas"
"AR",79,"Lincoln",5,"Arkansas"
"AR",81,"Little River",5,"Arkansas"
"AR",83,"Logan",5,"Arkansas"
"AR",85,"Lonoke",5,"Arkansas"
"AR",87,"Madison",5,"Arkansas"
"AR",89,"Marion",5,"Arkansas"
"AR",91,"Miller",5,"Arkansas"
"AR",93,"Mississippi",5,"Arkansas"
"AR",95,"Monroe",5,"Arkansas"
"AR",97,"Montgomery",5,"Arkansas"
"AR",99,"Nevada",5,"Arkansas"
"AR",101,"Newton",5,"Arkansas"
"AR",103,"Ouachita",5,"Arkansas"
"AR",105,"Perry",5,"Arkansas"
"AR",107,"Phillips",5,"Arkansas"
"AR",109,"Pike",5,"Arkansas"
"AR",111,"Poinsett",5,"Arkansas"
"AR",113,"Polk",5,"Arkansas"
"AR",115,"Pope",5,"Arkansas"
"AR",117,"Prairie",5,"Arkansas"
"AR",119,"Pulaski",5,"Arkansas"
"AR",121,"Randolph",5,"Arkansas"
"AR",123,"St. Francis",5,"Arkansas"
"AR",125,"Saline",5,"Arkansas"
"AR",127,"Scott",5,"Arkansas"
"AR",129,"Searcy",5,"Arkansas"
"AR",131,"Sebastian",5,"Arkansas"
"AR",133,"Sevier",5,"Arkansas"
"AR",135,"Sharp",5,"Arkansas"
"AR",137,"Stone",5,"Arkansas"
"AR",139,"Union",5,"Arkansas"
"AR",141,"Van Buren",5,"Arkansas"
"AR",143,"Washington",5,"Arkansas"
"AR",145,"White",5,"Arkansas"
"AR",147,"Woodruff",5,"Arkansas"
"AR",149,"Yell",5,"Arkansas"
"AS",10,"Eastern District",60,"American Samoa"
